epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,147.657,0.7199,0.43096,0.81671,0.99822,1,0.995,0.87289,0.70012,0.46318,0.85034,0.0011486,0.0011486,0.0011486
45,150.973,0.72175,0.42509,0.80947,0.99334,1,0.995,0.80562,0.62566,0.45611,0.80159,0.0011288,0.0011288,0.0011288
46,154.271,0.73619,0.4234,0.80794,0.99658,1,0.995,0.83014,0.67962,0.4778,0.80001,0.001109,0.001109,0.001109
47,157.604,0.71822,0.42093,0.81045,0.99718,1,0.995,0.84256,0.72345,0.50553,0.84399,0.0010892,0.0010892,0.0010892
48,160.891,0.70336,0.42582,0.81534,0.99724,1,0.995,0.88535,0.70102,0.46363,0.81128,0.0010694,0.0010694,0.0010694
49,164.201,0.69183,0.41264,0.80422,0.99834,1,0.995,0.85589,0.61966,0.4589,0.78844,0.0010496,0.0010496,0.0010496
50,167.514,0.68136,0.41115,0.80609,0.99711,1,0.995,0.85893,0.61441,0.49015,0.79425,0.0010298,0.0010298,0.0010298
51,170.814,0.6669,0.40335,0.81468,0.99806,1,0.995,0.88181,0.56882,0.41521,0.80044,0.00101,0.00101,0.00101
52,174.138,0.69918,0.40661,0.80961,0.99809,1,0.995,0.84817,0.7012,0.48964,0.77415,0.0009902,0.0009902,0.0009902
53,177.435,0.69401,0.41085,0.81837,0.99808,1,0.995,0.84116,0.60745,0.37531,0.78378,0.0009704,0.0009704,0.0009704
54,180.744,0.67436,0.40246,0.80753,0.99804,1,0.995,0.85651,0.57957,0.45333,0.79763,0.0009506,0.0009506,0.0009506
55,184.089,0.64908,0.3869,0.80617,0.99568,1,0.995,0.86744,0.52392,0.40487,0.81253,0.0009308,0.0009308,0.0009308
56,187.391,0.66763,0.39492,0.79773,0.99811,1,0.995,0.86529,0.76871,0.43951,0.78709,0.000911,0.000911,0.000911
